"Product Category",Brand,Comments,"Repair Status","Spare parts (needed/used)",Event,Group,Date
Misc,,"electric contact",Fixed,No,"Biblioteca in Lambrate","Restarters Milano",2019-03-23
"Hair & Beauty item",,"does not run",Fixed,No,"Biblioteca in Lambrate","Restarters Milano",2019-03-23
Misc,,"does not heat","End of life",No,"Biblioteca in Lambrate","Restarters Milano",2019-03-23
Misc,,"no electric contact","End of life",No,"Biblioteca in Lambrate","Restarters Milano",2019-03-23
"Hair & Beauty item",,"always powered on",Fixed,No,"Biblioteca in Lambrate","Restarters Milano",2019-03-23
"Small kitchen item",,losses,Fixed,No,"Biblioteca in Lambrate","Restarters Milano",2019-03-23
Toy,,"Advice needed  - soldered",Fixed,No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
"Hi-Fi separates",Harman/Kardon,"Speakers not turning on",Repairable,No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
"Small kitchen item",,"Clock fell apart - fixed",Fixed,No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
"Hi-Fi separates",Apple,"Speakers: fuse keeps blowing",Unknown,No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
"Hi-Fi separates","Acoustic Solutions","Amp not switching on - needs new transformer",Repairable,No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
"Hi-Fi separates",,"Speaker - wiring needs fixing",Fixed,No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
"PC Accessory",,"Disc not spinning","End of life",No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
"Decorative or safety lights",,"needs wiring - replaced battery & resoldered",Fixed,No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
Headphones,Sony,"Loose connection - fixed",Fixed,No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
Misc,,"Needle of turntable not resting on record",Fixed,No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
"Laptop medium",,"Software issue, needs USB/DVD for backup -",Repairable,No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
"Small kitchen item",,"Coffee machine trips circuit",Repairable,No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
"Laptop medium",Lenovo,"screw missing, sometimes shuts down",Repairable,No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
Misc,,"Laminator not feeding paper - needs paper to test",Repairable,No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
"Small kitchen item",Kenwood,"Food blender - motor not working.",Repairable,No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
Misc,,"No power - still has guarantee",Repairable,No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
Toaster,,"Burns in the middle, not at the ends - design fault",Repairable,No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
Mobile,LG,"Screen broken",Repairable,No,"VMA, Hringteigur","Restarters Iceland",2019-03-21
"Portable radio","Acoustic Solutions","Not turning on - turning on now but needs more work",Repairable,No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
Mobile,LG,"Screen broken",Repairable,No,"VMA, Hringteigur","Restarters Iceland",2019-03-21
Mobile,Apple,"Facetime not working - volume issue",Fixed,No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
"Musical instrument",,"Connectiveity isses jack",Fixed,No,"VMA, Hringteigur","Restarters Iceland",2019-03-21
Kettle,,"Not working. Since not PAT tested, can't be fixed","End of life",No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
Mobile,Apple,"Broken screen and button",Repairable,No,"VMA, Hringteigur","Restarters Iceland",2019-03-21
Misc,,"Blender - blade not turning - needs new blade",Repairable,No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
"Hair & Beauty item",,"Chord is ripping","End of life",No,"VMA, Hringteigur","Restarters Iceland",2019-03-21
"TV and gaming-related accessories",,"DVD Player - won't power up - needs capacitor",Repairable,No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
"Laptop medium",Toshiba,"Screen not working","End of life",No,"VMA, Hringteigur","Restarters Iceland",2019-03-21
"TV and gaming-related accessories",,"Not starting - not worth repairing","End of life",No,"Hackney Fixers Restart Party - The Redmond Centre, Manor House","Hackney Fixers",2019-01-19
Mobile,Samsung,"Loose wire from former repair",Fixed,No,"VMA, Hringteigur","Restarters Iceland",2019-03-21
