"Product Category",Brand,Comments,"Repair Status","Spare parts (needed/used)",Event,Group,Date
Mobile,Apple,"won't turn on","End of life",No,"Reading International Solidarity Centre (RISC)","Reading Repair Café",2019-01-20
"Small kitchen item",,,"End of life",No,"Reading International Solidarity Centre (RISC)","Reading Repair Café",2019-01-20
"Portable radio",Bush,"d/c connector replaced",Fixed,No,"Reading International Solidarity Centre (RISC)","Reading Repair Café",2019-01-20
"Small kitchen item",,"motor not engaged",Unknown,No,"Reading International Solidarity Centre (RISC)","Reading Repair Café",2019-01-20
Aircon/Dehumidifier,,"soldered components",Fixed,No,"Reading International Solidarity Centre (RISC)","Reading Repair Café",2019-01-20
"Digital Compact Camera",Fujitsu,"zoom stuck","End of life",No,"Reading International Solidarity Centre (RISC)","Reading Repair Café",2019-01-20
"PC Accessory",Apple,"some keys (juio), stopped working after it was cleaned. Tried cleaning, checking software issues. Then tried disassembly. No clear fault. Contact spray applied and re-assembled but keyboard did not function","End of life",No,"STPLN Sunday Repair","Repair Cafe Malmö",2019-01-13
Printer/scanner,HP,"not printing",Repairable,No,"Upper Norwood Library","Crystal Palace Library of Things",2019-01-13
Tablet,Samsung,"wouldn't power on",Fixed,No,"Upper Norwood Library","Crystal Palace Library of Things",2019-01-13
"Small kitchen item",Cuisinart,"blade not turning. Needs new blade.",Repairable,No,"Upper Norwood Library","Crystal Palace Library of Things",2019-01-13
Mobile,HTC,"microphone not working",Fixed,No,"Upper Norwood Library","Crystal Palace Library of Things",2019-01-13
Toy,,"maze navigational robot built by person himself. won't turn right!",Fixed,No,"Upper Norwood Library","Crystal Palace Library of Things",2019-01-13
Vacuum,Sanyo,"not turning on power",Repairable,No,"Upper Norwood Library","Crystal Palace Library of Things",2019-01-13
"Laptop medium",Toshiba,"screen issue",Fixed,No,"Upper Norwood Library","Crystal Palace Library of Things",2019-01-13
"TV and gaming-related accessories",,"turns on but grating noise",Fixed,No,"Upper Norwood Library","Crystal Palace Library of Things",2019-01-13
Misc,,"not working",Fixed,No,"Upper Norwood Library","Crystal Palace Library of Things",2019-01-13
Misc,,"LCD not working",Fixed,No,"Upper Norwood Library","Crystal Palace Library of Things",2019-01-13
Misc,,"Not coming on",Repairable,No,"Upper Norwood Library","Crystal Palace Library of Things",2019-01-13
Toy,,"water damage",Fixed,No,"Upper Norwood Library","Crystal Palace Library of Things",2019-01-13
"Hair & Beauty item",,"steam not working",Repairable,No,"Upper Norwood Library","Crystal Palace Library of Things",2019-01-13
"Paper shredder",,"Won't shred forward",Fixed,No,"Upper Norwood Library","Crystal Palace Library of Things",2019-01-13
"Laptop medium",Lenovo,"broken screen",Fixed,No,"Upper Norwood Library","Crystal Palace Library of Things",2019-01-13
"Hair & Beauty item",,"loose connection",Fixed,No,"Upper Norwood Library","Crystal Palace Library of Things",2019-01-13
"Hi-Fi integrated",JVC,"opening buttons not working","End of life",No,"Upper Norwood Library","Crystal Palace Library of Things",2019-01-13
"Small kitchen item",Philips,"some ports not working",Fixed,No,"Upper Norwood Library","Crystal Palace Library of Things",2019-01-13
"Small kitchen item",,"working but burning smell",Fixed,No,"Upper Norwood Library","Crystal Palace Library of Things",2019-01-13
Misc,,"not starting up",Fixed,No,"Upper Norwood Library","Crystal Palace Library of Things",2019-01-13
Mobile,Apple,"broken screen",Repairable,No,"Upper Norwood Library","Crystal Palace Library of Things",2019-01-13
Toy,,"motor not working",Repairable,No,"Upper Norwood Library","Crystal Palace Library of Things",2019-01-13
Misc,,"no charge",Repairable,No,"Upper Norwood Library","Crystal Palace Library of Things",2019-01-13
Tablet,,"Charge point issues",Fixed,No,"Upper Norwood Library","Crystal Palace Library of Things",2019-01-13
Misc,,"Not powering on",Repairable,No,"Upper Norwood Library","Crystal Palace Library of Things",2019-01-13
"Laptop medium",Dell,"Not turning on","End of life",No,"Upper Norwood Library","Crystal Palace Library of Things",2019-01-13
"Laptop medium",Sony,"can't access internet",Fixed,No,"Upper Norwood Library","Crystal Palace Library of Things",2019-01-13
Headphones,,"Don't work",Repairable,No,"Upper Norwood Library","Crystal Palace Library of Things",2019-01-13
Misc,Philips,"Turntable. Needle gets stuck after song",Repairable,No,"STPLN Sunday Repair","Repair Cafe Malmö",2019-01-13
"Small kitchen item",NutriBullet,"Not powering up. Impossible to open without taking a hammer to it! Reckoned it was an internal short circuit.","End of life",No,"Upper Norwood Library","Crystal Palace Library of Things",2019-01-13
"Digital Compact Camera",Lumix,"Lens stuck",Fixed,No,"Upper Norwood Library","Crystal Palace Library of Things",2019-01-13
"Portable radio",,"LED Screen not working",Fixed,No,"Upper Norwood Library","Crystal Palace Library of Things",2019-01-13
Misc,,"boiler control panel","End of life",No,"Upper Norwood Library","Crystal Palace Library of Things",2019-01-13
"Small kitchen item",Philips,"Philips Cocina mixer does not turn, palastics worn out but cleaning helped!",Fixed,No,"STPLN Sunday Repair","Repair Cafe Malmö",2019-01-13
Misc,,"Alarm control panel. Freedland. Not working.",Fixed,No,"Upper Norwood Library","Crystal Palace Library of Things",2019-01-13
"PC Accessory",,"Power bank does not charge and cannot be charge","End of life",No,"STPLN Sunday Repair","Repair Cafe Malmö",2019-01-13
"Decorative or safety lights",Philips,"Light bulb needed to be changed",Fixed,No,"STPLN Sunday Repair","Repair Cafe Malmö",2019-01-13
"Laptop large",,"Password problem",Fixed,No,"STPLN Sunday Repair","Repair Cafe Malmö",2019-01-13
Lamp,,"Wiring problem",Fixed,No,"Upper Norwood Library","Crystal Palace Library of Things",2019-01-13
Vacuum,Bosch,"Switch jammed. Not charging?",Repairable,No,"Upper Norwood Library","Crystal Palace Library of Things",2019-01-13
"Power tool",Huawei,"Smartphone's charger broken inside, probably new transformator needed.",Repairable,No,"Porte aperte all'ENGIM","Restarters Torino",2019-01-12
"PC Accessory",,"Notebook charger open.",Fixed,No,"Porte aperte all'ENGIM","Restarters Torino",2019-01-12
Headphones,,"Broken cable. Soldered new jack on it.",Fixed,No,"STPLN Sunday Repair","Repair Cafe Malmö",2019-01-06
Misc,,"Visitor added on/off-switch. Did in fact use ""spare part"", a switch, but from a discarded lamp cable.",Fixed,No,"STPLN Sunday Repair","Repair Cafe Malmö",2019-01-06
Misc,zoom,"Broken headphone jack on a portable recorder. Customer brought spare. Unfortunately, the PCB got damaged when soldering the connector, so only one channel working.",Fixed,No,"STPLN Sunday Repair","Repair Cafe Malmö",2019-01-06
"Laptop small",HP,"No sound in Linux. Because manufacterer can't provide proper audio drivers. Just wait and hope that a future kernel release fixes it.",Repairable,No,"Linux Day Torino 2018","Restarters Torino",2018-10-27
"Laptop medium",ASUS,"Wanted to install Linux. Done, after a long battle with wireless drivers.",Fixed,No,"Linux Day Torino 2018","Restarters Torino",2018-10-27
"Laptop medium",ASUS,"PCIe errors spamming systemd journal in Linux, apparently related to Intel SSD. Probably fixed in most recent SSD firmware revision, but not attempted the update due to time constraints.",Repairable,No,"Linux Day Torino 2018","Restarters Torino",2018-10-27
"Laptop medium",,"Wanted to install Linux. Done.",Fixed,No,"Linux Day Torino 2018","Restarters Torino",2018-10-27
"Laptop small",Acer,"Wanted to install Linux. Done.",Fixed,No,"Linux Day Torino 2018","Restarters Torino",2018-10-27
"Laptop medium",ASUS,"Wanted to install Linux in dual boot. Windows exploded for no reason even before starting the setup. Fixed Windows and ran out of time.",Repairable,No,"Linux Day Torino 2018","Restarters Torino",2018-10-27
"Laptop medium",Acer,"Doesn't turn on, burned MOSFET on the motherboard. Probably not worth the repair, but still technically possible with spare part.",Repairable,No,"Linux Day Torino 2018","Restarters Torino",2018-10-27
Misc,Olivetti,"Tangled tension wire",Fixed,No,"Pont Saint Martin - Valle d'Aosta","Restarters Aosta",2018-11-10
"Laptop small",,"broken power jack",Repairable,No,"Pont Saint Martin - Valle d'Aosta","Restarters Aosta",2018-11-10
Misc,Philips,"iron not blowing enough steam - impossible to disassemble after a certain point",Repairable,No,"Pont Saint Martin - Valle d'Aosta","Restarters Aosta",2018-11-10
Misc,Tefal,"not working - impossible to disassemble after a certain point",Repairable,No,"Pont Saint Martin - Valle d'Aosta","Restarters Aosta",2018-11-10
Misc,,"broken fan (manual)",Fixed,No,"Pont Saint Martin - Valle d'Aosta","Restarters Aosta",2018-11-10
Toy,,"Talking teddy bear not working",Fixed,No,"Pont Saint Martin - Valle d'Aosta","Restarters Aosta",2018-11-10
Misc,,"Space heater with safety switch broken impossible to open at home because of triangular screws",Fixed,No,"Pont Saint Martin - Valle d'Aosta","Restarters Aosta",2018-11-10
"Laptop medium",,"Overheating, possible faulty fan, ran out of time to fix.",Repairable,No,"TTF Café Collective","Forres Restarters",2018-12-01
Vacuum,VAX,"The main inlet was not working, with the brush bar not spinning. Unaware of the solution - other restarter solved it.",Fixed,No,"TTF Café Collective","Forres Restarters",2018-12-01
Misc,,"The compressor had stopped pumping and started making loud rattling noises. This was guessed to be a broken nylon gear, but on dis-assembly the fault was even more impressive - the gears were metal, but a cast-metal flange holding one of them in place as it drove a piston, had fractured all the way across and this arm snapped off. On closer inspection it appeared that there was a small ~1mm diameter bubble in the casting on the line of this fracture, which probably initiated it due to fatigue from the cyclic stress.","End of life",No,"TTF Café Collective","Forres Restarters",2018-12-01
"Small kitchen item",Breville,"Did not start when dial was turned. We took the device completely apart in order to access the control circuit board, in a long and gruelling process that involved releasing not only screws, but also c-clips and opposite-threaded nuts on the drive shaft, which free-wheeled if torque was put on it without gripping it by the belt gear. There was lots of grease. It was nasty. At the end, the fault was found to be a blown internal glass fuse, a cheap component but one that we did not have a replacement for to hand. The user was shown how to de-solder the fuse, and may come back later for help to re-assemble this device, if not already too frustrated with its horrible anti-repair design.",Repairable,No,"TTF Café Collective","Forres Restarters",2018-12-01
"Power tool",Festool,"Plunge saw. The circular saw worked sometimes, but cut out intermittently. We theorised this to be due to a slow buildup of damp & fine sawdust over several years of use, even though it was used with a bag, which could have been causing short circuits. We opened up the casing as far as we could, which was just all but a section immediately around the motor, then brushed, scraped & vacuumed out the visible old sawdust deposits. With the motor windings inaccessible, the user was advised to find an electrical contact cleaning fluid/spray and run it through there if possible, or apply compressed air.",Fixed,No,"TTF Café Collective","Forres Restarters",2018-12-01
Printer/scanner,HP,"The scanner function had stopped working. Copy funtion on the printer itself was working via touchscreen, so the accompanying laptop running Windows 10 was investigated. The printer driver was re-installed and this solved the problem. Defenestration is the only final solution to such problems.",Fixed,No,"TTF Café Collective","Forres Restarters",2018-12-01
Misc,,"User said the steam outlets were blocked with calcification. The iron was given a quick clean & test, and worked perfectly.",Fixed,No,"TTF Café Collective","Forres Restarters",2018-12-01
"Power tool",Tesco,"Plastic cover over motor came loose, it seemed that nuts & bolts to secure it were missing. We did not have any to fit at the time, so the lid was held on temporarily with wire twists, to be secured better later on.",Repairable,No,"TTF Café Collective","Forres Restarters",2018-10-06
Lamp,,"An Edison-screw bulb got stuck in its socket, and the glass portion had come away from the metal threaded casing when the user tried to remove it. Using long-nose pliers, the stuck piece of threaded casing was unscrewed. The brass contacts were given a bit of brushing clean, and the user was advised to avoid corrosive humidity and over-tightening bulbs to prevent a recurrence.",Fixed,No,"TTF Café Collective","Forres Restarters",2018-10-06
"Decorative or safety lights",,"Not working - functions, but doesn't hold much charge, so they are faint.",Fixed,No,Portsmouth,"Repair Café Portsmouth",2018-12-15
"Flat screen 22-24""",,"Unable to use as dual screen following SW update - updated display link drivers and rebooted.",Fixed,No,Portsmouth,"Repair Café Portsmouth",2018-12-15
Toaster,,"No retention - couldn't fix as electromagnetic switch not working.",Repairable,No,Portsmouth,"Repair Café Portsmouth",2018-12-15
Misc,,"Earth problem - repaired scuffed cable and all PAT tested.",Fixed,No,Portsmouth,"Repair Café Portsmouth",2018-12-15
"Decorative or safety lights",,"Not coming on - replaced broken bulbs.",Fixed,No,Portsmouth,"Repair Café Portsmouth",2018-12-15
Misc,,"Not charging - fuses and leads OK, need CCT diagram to diagnose further.","End of life",No,Portsmouth,"Repair Café Portsmouth",2018-12-15
"Laptop medium",,"Unable to reset to original settings - created new user and deleted old, removed various apps and updated OS & AV.",Fixed,No,Portsmouth,"Repair Café Portsmouth",2018-12-15
"Small kitchen item",,,Fixed,No,Portsmouth,"Repair Café Portsmouth",2018-12-15
"Hi-Fi separates",,"Volume control not working - returning when new button sourced",Repairable,No,Portsmouth,"Repair Café Portsmouth",2018-12-15
"Hi-Fi integrated",,"CD lid detatched - repaired lid with black RTV",Fixed,No,Portsmouth,"Repair Café Portsmouth",2018-12-15
"Laptop medium",Lenovo,"Firefox not opening sites - exported cert signature from IE, and imported to Firefox trusted CA certs.",Fixed,No,Portsmouth,"Repair Café Portsmouth",2018-12-15
Toaster,,"Not working - tested and unable to establish fault, suspect component on PCB is the issue.","End of life",No,Portsmouth,"Repair Café Portsmouth",2018-12-15
"Decorative or safety lights",,"Bare wires showing - taped up exposed contacts",Fixed,No,Portsmouth,"Repair Café Portsmouth",2018-12-15
Lamp,,"Not working - came too late for repair time needed...returning next month",Repairable,No,Portsmouth,"Repair Café Portsmouth",2018-12-15
"Hair & Beauty item",,"Wire has come loose and now light doesn't come on - connected wire and tested.",Fixed,No,Portsmouth,"Repair Café Portsmouth",2018-12-15
Lamp,,"Bulb fitting broken - Reformed bulb contacts and PAT tested.",Fixed,No,Portsmouth,"Repair Café Portsmouth",2018-12-15
Headphones,Apple,"No sound from left ear - too delicate and molded to attempt to repair the break :-(","End of life",No,Portsmouth,"Repair Café Portsmouth",2018-12-15
Misc,,"Burning smell and no heat - dust on terminals, cleaned and tested.",Fixed,No,Portsmouth,"Repair Café Portsmouth",2018-12-15
"Hair & Beauty item","Phil Smith by Sainsbury","Not working - dry joint on switch PCB, resoldered and PAT tested",Fixed,No,Portsmouth,"Repair Café Portsmouth",2018-12-15
Aircon/Dehumidifier,"Kaz (was Duracraft)","Not working - no power on high voltage side - need CCT diagram",Repairable,No,Portsmouth,"Repair Café Portsmouth",2018-12-15
Misc,,"Water flooding","End of life",No,"Chesterfield Monkey Park","Chesterfield Repair Cafe",2018-12-08
Misc,,"Inner wheel seized",Fixed,No,"Chesterfield Monkey Park","Chesterfield Repair Cafe",2018-12-08
Misc,,"Not charging fully.","End of life",No,"Chesterfield Monkey Park","Chesterfield Repair Cafe",2018-12-08
Lamp,,"Wiring needs renewing",Repairable,No,"Chesterfield Monkey Park","Chesterfield Repair Cafe",2018-12-08
"Hi-Fi separates",,"new cassette needed",Fixed,No,"Chesterfield Monkey Park","Chesterfield Repair Cafe",2018-12-08
Lamp,,"Needs modern parts fitting",Fixed,No,"Chesterfield Monkey Park","Chesterfield Repair Cafe",2018-12-08
Toy,,"Not connecting",Fixed,No,"Chesterfield Monkey Park","Chesterfield Repair Cafe",2018-12-08
"Hair & Beauty item",,"not working",Fixed,No,"Chesterfield Monkey Park","Chesterfield Repair Cafe",2018-12-08
Misc,,Bobbin,Fixed,No,"Chesterfield Monkey Park","Chesterfield Repair Cafe",2018-12-08
Misc,,"Not working. Replaced batteries. :-)",Fixed,No,STPLN,"Repair Cafe Malmö",2018-12-16
Misc,,"Shutter button not always working",Repairable,No,STPLN,"Repair Cafe Malmö",2018-12-16
Misc,,"Battery change",Fixed,No,STPLN,"Repair Cafe Malmö",2018-12-16
"Decorative or safety lights",,"Wanted to add switch.",Repairable,No,STPLN,"Repair Cafe Malmö",2018-12-16
Toaster,IKEA,"Short circuited. Resistor blown.",Repairable,No,STPLN,"Repair Cafe Malmö",2018-12-16
"Hi-Fi separates",,"Bass element dead. Cable to speaker coil broken, soldered new wires.",Fixed,No,STPLN,"Repair Cafe Malmö",2018-12-16
"Hi-Fi separates",,"Crackly balance potentiometer, fixed with contact spray.",Fixed,No,STPLN,"Repair Cafe Malmö",2018-12-16
"Laptop medium",Lenovo,"Computer slow. Changing HDD to SSD.",Fixed,No,STPLN,"Repair Cafe Malmö",2018-12-16
Misc,,"Dead (intermittently). A solder joint was bad, after resoldering it worked fine.",Fixed,No,STPLN,"Repair Cafe Malmö",2018-12-16
Mobile,,"usb connector unsoldered",Repairable,No,"Restart @Engim","Restarters Torino",2018-11-15
Mobile,Samsung,"broken display",Repairable,No,"Restart @Engim","Restarters Torino",2018-11-15
Tablet,Samsung,"blocked password + not charging",Repairable,No,Graceworks,"Leicester Fixers",2018-12-01
Mobile,Apple,screen,Fixed,No,Graceworks,"Leicester Fixers",2018-12-01
"PC Accessory",Seagate,"not recognised by laptop",Repairable,No,Graceworks,"Leicester Fixers",2018-12-01
"Laptop medium",,"conection porpblem",Repairable,No,Graceworks,"Leicester Fixers",2018-12-01
Mobile,,"cracked sceen",Repairable,No,Graceworks,"Leicester Fixers",2018-12-01
Misc,,"won't read discs, On going repair, worth continuing due to Antique status.","End of life",No,Graceworks,"Leicester Fixers",2018-12-01
"Desktop computer",,"broken power supply - Failed PAT test and startup signal even when disconnect from motherboard. Will revisit Leicester Hackspace Open hack Night and replace PSU",Repairable,No,Graceworks,"Leicester Fixers",2018-12-01
Toy,,"no siren noise, borken speaker",Repairable,No,Graceworks,"Leicester Fixers",2018-12-01
"TV and gaming-related accessories",Sony,"fan not working, need cleaning",Fixed,No,Graceworks,"Leicester Fixers",2018-12-01
"Hair & Beauty item",GHD,"not working",Repairable,No,Graceworks,"Leicester Fixers",2018-12-01
Headphones,,"not working",Repairable,No,"Fixa Julen @ Stadsbiblioteket!","Repair Cafe Malmö",2018-12-09
Misc,,"not working",Fixed,No,"Fixa Julen @ Stadsbiblioteket!","Repair Cafe Malmö",2018-12-09
"Laptop medium",Apple,"dusty fan",Fixed,No,"Fixa Julen @ Stadsbiblioteket!","Repair Cafe Malmö",2018-12-09
Misc,,"does not charge",Fixed,No,"Fixa Julen @ Stadsbiblioteket!","Repair Cafe Malmö",2018-12-09
Mobile,Apple,"doesn't charge",Repairable,No,"Fixa Julen @ Stadsbiblioteket!","Repair Cafe Malmö",2018-12-09
Misc,,"not sure",Fixed,No,"Fixa Julen @ Stadsbiblioteket!","Repair Cafe Malmö",2018-12-09
"Flat screen 26-30""",,,Repairable,No,Southampton,"Southampton Repair Cafe",2018-12-01
"Portable radio",,,"End of life",No,Southampton,"Southampton Repair Cafe",2018-12-01
"PC Accessory",,,"End of life",No,Southampton,"Southampton Repair Cafe",2018-12-01
"Laptop medium",,,"End of life",No,Southampton,"Southampton Repair Cafe",2018-12-01
"Laptop medium",,,"End of life",No,Southampton,"Southampton Repair Cafe",2018-12-01
Lamp,,,Fixed,No,Southampton,"Southampton Repair Cafe",2018-12-01
Lamp,,,Fixed,No,Southampton,"Southampton Repair Cafe",2018-12-01
Lamp,,,Fixed,No,Southampton,"Southampton Repair Cafe",2018-12-01
Lamp,Anglepoise,,Fixed,No,Southampton,"Southampton Repair Cafe",2018-12-01
Vacuum,Hoover,,Repairable,No,Southampton,"Southampton Repair Cafe",2018-12-01
"Small kitchen item",,,"End of life",No,Southampton,"Southampton Repair Cafe",2018-12-01
"Small kitchen item",,,Fixed,No,Southampton,"Southampton Repair Cafe",2018-12-01
"Paper shredder",Woolworths,,Fixed,No,Southampton,"Southampton Repair Cafe",2018-12-01
"Paper shredder",Fellowes,,"End of life",No,Southampton,"Southampton Repair Cafe",2018-12-01
Fan,,,Fixed,No,Southampton,"Southampton Repair Cafe",2018-12-01
"Power tool",,,"End of life",No,Southampton,"Southampton Repair Cafe",2018-12-01
"Handheld entertainment device",,,"End of life",No,Southampton,"Southampton Repair Cafe",2018-12-01
"Hi-Fi separates",,,"End of life",No,Southampton,"Southampton Repair Cafe",2018-12-01
"Hi-Fi separates",,,Fixed,No,Southampton,"Southampton Repair Cafe",2018-12-01
Tablet,,,Fixed,No,Southampton,"Southampton Repair Cafe",2018-11-17
Vacuum,,,Repairable,No,Southampton,"Southampton Repair Cafe",2018-11-17
"PC Accessory",,,Fixed,No,Southampton,"Southampton Repair Cafe",2018-11-17
Misc,,,Fixed,No,Southampton,"Southampton Repair Cafe",2018-11-17
"Portable radio",,,"End of life",No,Southampton,"Southampton Repair Cafe",2018-11-17
"Laptop medium",,,"End of life",No,Southampton,"Southampton Repair Cafe",2018-11-17
Lamp,,"switch problem",Repairable,No,Southampton,"Southampton Repair Cafe",2018-11-17
Lamp,,,Fixed,No,Southampton,"Southampton Repair Cafe",2018-11-17
Vacuum,Hoover,,"End of life",No,Southampton,"Southampton Repair Cafe",2018-11-17
Misc,,,Repairable,No,Southampton,"Southampton Repair Cafe",2018-11-17
Toy,,,Fixed,No,Southampton,"Southampton Repair Cafe",2018-11-17
Misc,,,"End of life",No,Southampton,"Southampton Repair Cafe",2018-11-17
"Hi-Fi separates",,,"End of life",No,Southampton,"Southampton Repair Cafe",2018-11-17
"Small kitchen item",,,Fixed,No,Southampton,"Southampton Repair Cafe",2018-11-03
Misc,,,Repairable,No,Southampton,"Southampton Repair Cafe",2018-11-03
Misc,,"needed new battery",Fixed,No,Southampton,"Southampton Repair Cafe",2018-11-03
Misc,,"needed new battery",Fixed,No,Southampton,"Southampton Repair Cafe",2018-11-03
Misc,,"needed new battery",Fixed,No,Southampton,"Southampton Repair Cafe",2018-11-03
Misc,,"needed new battery",Fixed,No,Southampton,"Southampton Repair Cafe",2018-11-03
Misc,,"Goes on but does not feed.  Cannot reassemble","End of life",No,"Abbey Community Centre","Restarters Kilburn",2018-12-01
Vacuum,,,Fixed,No,Southampton,"Southampton Repair Cafe",2018-11-03
Vacuum,,,Repairable,No,Southampton,"Southampton Repair Cafe",2018-11-03
Toaster,,,"End of life",No,Southampton,"Southampton Repair Cafe",2018-11-03
Toaster,,,"End of life",No,Southampton,"Southampton Repair Cafe",2018-11-03
Mobile,Samsung,"power problem, advice given",Repairable,No,"Abbey Community Centre","Restarters Kilburn",2018-12-01
"Hi-Fi separates",,,"End of life",No,Southampton,"Southampton Repair Cafe",2018-11-03
"Hi-Fi separates",,,Fixed,No,Southampton,"Southampton Repair Cafe",2018-11-03
"Portable radio",,,Fixed,No,Southampton,"Southampton Repair Cafe",2018-11-03
"Laptop medium",ASUS,charger,Repairable,No,"Abbey Community Centre","Restarters Kilburn",2018-12-01
"Paper shredder",,,Fixed,No,Southampton,"Southampton Repair Cafe",2018-11-03
"Laptop small",,,"End of life",No,Southampton,"Southampton Repair Cafe",2018-11-03
"Hair & Beauty item",,"damaged cable",Repairable,No,"Abbey Community Centre","Restarters Kilburn",2018-12-01
"Decorative or safety lights",,,Fixed,No,Southampton,"Southampton Repair Cafe",2018-11-03
Lamp,,,Fixed,No,Southampton,"Southampton Repair Cafe",2018-11-03
Kettle,"Russell Hobbs","no power","End of life",No,"Abbey Community Centre","Restarters Kilburn",2018-12-01
"PC Accessory",,,Repairable,No,Southampton,"Southampton Repair Cafe",2018-11-03
Misc,,,"End of life",No,Southampton,"Southampton Repair Cafe",2018-11-03
Misc,,,"End of life",No,Southampton,"Southampton Repair Cafe",2018-11-03
Fan,,,"End of life",No,Southampton,"Southampton Repair Cafe",2018-11-03
"Small kitchen item",DeLonghi,"possible water damage

Spent lots of time trying to open item",Repairable,No,"Abbey Community Centre","Restarters Kilburn",2018-12-01
"Hair & Beauty item",,,Fixed,No,Southampton,"Southampton Repair Cafe",2018-11-03
"Hi-Fi separates",,,Repairable,No,Southampton,"Southampton Repair Cafe",2018-11-03
"Hi-Fi separates",,,Repairable,No,Southampton,"Southampton Repair Cafe",2018-11-03
"Hi-Fi separates",,,Fixed,No,Southampton,"Southampton Repair Cafe",2018-11-03
"Hi-Fi integrated",Sony,,"End of life",No,"Abbey Community Centre","Restarters Kilburn",2018-12-01
"Power tool",,,"End of life",No,Southampton,"Southampton Repair Cafe",2018-11-03
"Power tool",,,"End of life",No,Southampton,"Southampton Repair Cafe",2018-11-03
Misc,,"no power","End of life",No,"Abbey Community Centre","Restarters Kilburn",2018-12-01
"Handheld entertainment device",,,Repairable,No,Southampton,"Southampton Repair Cafe",2018-11-03
"Digital Compact Camera",,,"End of life",No,Southampton,"Southampton Repair Cafe",2018-11-03
"Digital Compact Camera",,,"End of life",No,Southampton,"Southampton Repair Cafe",2018-11-03
"Laptop medium",,,Fixed,No,Southampton,"Southampton Repair Cafe",2018-11-03
"Laptop medium",,,Fixed,No,Southampton,"Southampton Repair Cafe",2018-11-03
"Small kitchen item",,"jug stuck closed","End of life",No,"Abbey Community Centre","Restarters Kilburn",2018-12-01
Misc,,"needs new mechanism",Repairable,No,Southampton,"Southampton Repair Cafe",2018-11-03
Vacuum,Henry,"No power",Fixed,No,"Abbey Community Centre","Restarters Kilburn",2018-12-01
"Decorative or safety lights",,"Colour change.  Usable but to fully fix needs parts -  expensive.",Repairable,No,"Abbey Community Centre","Restarters Kilburn",2018-12-01
Misc,Tesco,"no power","End of life",No,"Abbey Community Centre","Restarters Kilburn",2018-12-01
Toy,,,"End of life",No,Southampton,"Southampton Repair Cafe",2018-10-06
Misc,,"buttons stuck",Repairable,No,"Abbey Community Centre","Restarters Kilburn",2018-12-01
"Portable radio",Roberts,,Repairable,No,Southampton,"Southampton Repair Cafe",2018-10-06
Mobile,,,"End of life",No,Southampton,"Southampton Repair Cafe",2018-10-06
Mobile,,,Fixed,No,Southampton,"Southampton Repair Cafe",2018-10-06
"Laptop medium",,,Repairable,No,Southampton,"Southampton Repair Cafe",2018-10-06
"Portable radio",Pure,display,Repairable,No,"Abbey Community Centre","Restarters Kilburn",2018-12-01
Lamp,,,Fixed,No,Southampton,"Southampton Repair Cafe",2018-10-06
Lamp,,,Fixed,No,Southampton,"Southampton Repair Cafe",2018-10-06
Tablet,,,Repairable,No,Southampton,"Southampton Repair Cafe",2018-10-06
"TV and gaming-related accessories",,"damaged connection",Fixed,No,"Abbey Community Centre","Restarters Kilburn",2018-12-01
"Power tool",,,Fixed,No,Southampton,"Southampton Repair Cafe",2018-10-06
"Power tool",,,Fixed,No,Southampton,"Southampton Repair Cafe",2018-10-06
"Power tool",,,Fixed,No,Southampton,"Southampton Repair Cafe",2018-10-06
Vacuum,,,"End of life",No,Southampton,"Southampton Repair Cafe",2018-10-06
Vacuum,Dyson,,Fixed,No,Southampton,"Southampton Repair Cafe",2018-10-06
"TV and gaming-related accessories",,"advice given",Repairable,No,"Abbey Community Centre","Restarters Kilburn",2018-12-01
"Handheld entertainment device",,,Repairable,No,Southampton,"Southampton Repair Cafe",2018-10-06
Misc,,"No power, fuse changed",Fixed,No,"Abbey Community Centre","Restarters Kilburn",2018-12-01
Lamp,,,Repairable,No,Southampton,"Southampton Repair Cafe",2018-10-06
Misc,,,Fixed,No,Southampton,"Southampton Repair Cafe",2018-10-06
"Hair & Beauty item",,,Repairable,No,Southampton,"Southampton Repair Cafe",2018-10-06
"TV and gaming-related accessories",Amazon,,Fixed,No,"Abbey Community Centre","Restarters Kilburn",2018-12-01
"Hi-Fi separates",,,"End of life",No,Southampton,"Southampton Repair Cafe",2018-10-06
"TV and gaming-related accessories",Panasonic,"Advice needed and given",Fixed,No,"Abbey Community Centre","Restarters Kilburn",2018-12-01
"Small kitchen item",,,Fixed,No,Southampton,"Southampton Repair Cafe",2018-10-06
"Hi-Fi separates",,,Fixed,No,Southampton,"Southampton Repair Cafe",2018-10-06
Toaster,Dualit,,"End of life",No,"Abbey Community Centre","Restarters Kilburn",2018-12-01
Tablet,,,"End of life",No,Southampton,"Southampton Repair Cafe",2018-10-06
Tablet,,,"End of life",No,Southampton,"Southampton Repair Cafe",2018-10-06
Kettle,Cuisinart,"not heating",Repairable,No,"Abbey Community Centre","Restarters Kilburn",2018-12-01
Misc,Goblin,"loose cable",Fixed,No,"Abbey Community Centre","Restarters Kilburn",2018-12-01
"PC Accessory",,"Audio input cable broken.  Cable cut back and re-soldered to board.",Fixed,No,Tooting,"Restarters Tooting",2018-12-08
"Handheld entertainment device",,"Micro-USB port damaged. Unit sealed.  No time to open and examne further.",Unknown,No,Tooting,"Restarters Tooting",2018-12-08
